stop_id,stop_name,stop_lat,stop_lon,location_type
16538,"COBAY Komchén",21.1038300,-89.6535400,0
16044,"C-42 x 109 Canto",20.9415693,-89.6115845,0
17206,"Av. Andres Garcia Lavin x 51",21.0216250,-89.6061410,0
12870,"Mulchechén",20.9325426,-89.5911255,0
17190,"Av. Libano x 27",20.9991750,-89.6111740,0
16008,"C-7 x 20-C Xcumpich",21.0306008,-89.6348713,0
17049,"SEMUJERES Cto. Colonias",20.9584570,-89.5919020,0
16119,"Instituto Tecnológico de Mérida",21.0120987,-89.6237668,0
15858,"TAME 69",20.9628704,-89.6299578,0
16260,"C-50 x 29 Fracc. Fco. de Montejo",21.0457600,-89.6405300,0
16177,"C-106 x 47 Fracc. Las Américas",21.0858000,-89.6596800,0
16743,"Hospital General Agustin O´Horan",20.9760560,-89.6414590,0
15943,"IMSS 42 Sur",20.9282230,-89.6077280,0
17184,"Plaza Victory Platz",21.0334160,-89.6032500,0
15877,"retorno de ruta",20.9457368,-89.7000754,0
992,"Refaccionaria Apymsa",20.9562981,-89.6432559,0
15912,"Plaza Las Américas C-21",20.9912702,-89.6502404,0
16666,"​Parque Centenario del Ejército Mexicano",20.9286330,-89.6805920,0
16217,"CUM",21.0262200,-89.6261800,0
16158,"Av. Mérida 2000 x 75-B",20.9539983,-89.6633081,0
16643,"Walmart Paseo de Montejo",20.9853730,-89.6164940,0
17212,"Luxury Place",21.0288360,-89.6043044,0
16967,"Panadería La Glorieta",20.8863710,-89.7458260,0
16017,"Plaza Las Américas C-52",20.9908295,-89.6483359,0
15159,"Santa Cruz Palomeque",20.8956216,-89.6695581,0
15855,"Paseo 60",20.9835325,-89.6198565,0
17059,"Cto. Colonias x 19",20.9364770,-89.6081520,0
16376,"Av. Alfredo Barrera x 44",20.9960281,-89.6485829,0
16607,"​Walmart Pensiones C-60",20.9942380,-89.6535870,0
16627,"Plaza Gran Saudela",21.0255170,-89.5623200,0
16905,"C-114 x 37-A Fracc. Ciudad Caucel",21.0095130,-89.7250590,0
16291,"C-63 x 56 Col. Centro",20.9660491,-89.6212677,0
15953,"Av. Fidel Velázquez x 40-A",20.9671378,-89.5737277,0
16757,"C-91-A x 102 Fracc. Ciudad Caucel II",20.9884970,-89.7160340,0
16105,"Chedraui Selecto Kalia",21.0194055,-89.5962847,0
16215,"Siglo XXI",21.0331600,-89.6277400,0
16188,"Estación SSP Las Américas",21.0700900,-89.6609300,0
16046,"C-48 x 113 Cinco Colonias",20.9351914,-89.6176086,0
16077,"Chedraui Oriente",20.9665319,-89.5914734,0
16024,"Escuela Primaria Felipe Carrillo Puerto",21.0219339,-89.6311753,0
17216,"Gran Corredor Turistico-Gastronomico",20.9744485,-89.6147221,0
17196,"Av. Libano x 9",21.0078020,-89.6097280,0
17175,"C-20 x 17 Col. Itzimna",20.9942330,-89.6108190,0
16207,"Glorieta Las Palmas",21.0395300,-89.6421500,0
16638,"DIF Yucatán",20.9887630,-89.6089590,0
16805,"C-110-C x 37-D Fracc. Las Palmeras",21.0074320,-89.7214820,0
16078,"IMSS Fracc. del Parque",20.9699431,-89.5881419,0
16614,"​C-52 x 11 Residencial Pensiones",20.9950110,-89.6478100,0
15791,"Inicio de ruta",20.9691238,-89.6214598,0
